date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:56:57	56684/56684	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:51%20GMT	http://www.w3schools.com/tags/ref_colorpicker.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/tags/ref_colorpicker.html	(from )
09:57:05	90231/90231	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:26:57%20GMT	http://www.w3schools.com/tags/ref_colornames.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/tags/ref_colornames.html	(from )
09:57:07	84074/84074	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:05%20GMT	http://www.w3schools.com/cssref/css3_browsersupport.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/cssref/css3_browsersupport.html	(from )
09:57:08	5770/5770	---M--	200	added ('OK')	image/gif	etag:%224f57314812ecd1:0%22	http://www.w3schools.com/pic_cert.gif	C:/My%20Web%20Sites/Myschool/www.w3schools.com/pic_cert.gif	(from )
09:57:10	45776/45776	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:08%20GMT	http://www.w3schools.com/browsers/browsers_stats.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/browsers/browsers_stats.html	(from )
09:57:12	18452/18452	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:10%20GMT	http://www.w3schools.com/quiztest/quiztest.asp?qtest=HTML	C:/My%20Web%20Sites/Myschool/www.w3schools.com/quiztest/quiztest1489.html	(from )
09:57:13	1760/1760	---M--	200	added ('OK')	image/gif	etag:%22e1c3574932ecd1:0%22	http://www.w3schools.com/images/html5_badge_128.gif	C:/My%20Web%20Sites/Myschool/www.w3schools.com/images/html5_badge_128.gif	(from )
09:57:15	31038/31038	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:13%20GMT	http://www.w3schools.com/html/html_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/html/html_examples.html	(from )
09:57:16	41579/41579	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:15%20GMT	http://www.w3schools.com/css/css_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/css/css_examples.html	(from )
09:57:18	22809/22809	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Jun%202012%2004:27:16%20GMT	http://www.w3schools.com/xml/xml_examples.asp	C:/My%20Web%20Sites/Myschool/www.w3schools.com/xml/xml_examples.html	(from )
